Тип двигателя,2p,n_синхр,Напряжение В,Ном. мощность кВт,Ном. ток А (380/220 В; 380/660 В),n_ном об/мин,КПД %,cos φ,M_макс/M_ном,M_пуск/M_ном,I_пуск/I_ном,Вес кг
АИР 100L8 1081,8,750,220/380,1.5,"7,54/3,34",700,75,0.71,2,1.8,5,28.53
АИР 112MA8 1081/2081,8,750,220/380,2.2,"10,46/4,04",700,78,0.71,2,1.8,4,"35/36"
АИР 112M8 1081/2081,8,750,220/380,3,"14/8,13",700,79,0.71,2,1.8,4,"42/43"
АИР 132S8 1081,8,750,380/660,4,"10,6/6,1",720,82,0.72,2,2,6,61
АИР 132M8 1081/2081,8,750,380/660,5.5,"14/8,05",720,83,0.72,2,2,6,"70/72"
АИР 160S8 1081,8,750,380/660,7.5,"17,8/10,2",720,85,0.75,2,2,6,90
АИР 160M8 1081,8,750,380/660,11,"25,4/14,6",720,86,0.76,2,2,5.5,130
АИР 180M8 1081,8,750,380/660,15,"34,5/19,8",725,87,0.76,2,2,6.5,230
АИР 200M8 1081,8,750,380/660,18.5,"41,6/23,9",730,89,0.76,2,1.8,6.6,300
АИР 200L8 1081,8,750,380/660,22,"49,4/28,5",730,89,0.76,2.3,2,6.6,310
АИР 225M8 1081,8,750,380/660,30,"65/37,5",730,91,0.77,2,1.9,6.6,400
АИР 250S8 1081,8,750,380/660,37,"82,4/47,4",735,91,0.75,2,1.8,6.5,550
АИР 250M8 1081,8,750,380/660,45,"99,1/57,1",735,91,0.75,2,1.8,7,660
АИР 280S8 1081,8,750,380/660,55,"121/69,7",740,92,0.75,2,1.8,6.6,700
АИР 280M8 1081,8,750,380/660,75,"154/88,7",740,92,0.8,2,1.8,6.6,920
АИР 315S8 1081,8,750,380/660,90,"178/102",735,93,0.82,2,1.8,6.6,1200
АИР 315M8 1081,8,750,380/660,110,"217/125",740,93,0.82,2,1.8,6.4,1500
